"singer","title","film_album","film_or_nonfilm","year","Language","youtube_url","search_query_used","confidence_score","discovery_timestamp"
"Shaan","Musu Musu","Pyaar Mein Kabhi Kabhi","Film","1999","Hindi","https://www.youtube.com/watch?v=kJaKUJt2krg","Shaan Musu Musu Pyaar Mein Kabhi Kabhi official","0.9999999999999999","2025-09-02 22:08:41"
"Lata Mangeshkar","Aayega Aanewala","Mahal","Film","1949","Hindi","https://www.youtube.com/watch?v=e24S6d4e3QA","Lata Mangeshkar Aayega Aanewala Mahal official","0.9999999999999999","2025-09-02 22:08:41"
"Jubin Nautiyal","Meherbani","The Shaukeens","Film","2014","Hindi","https://www.youtube.com/watch?v=tQMeRF67ei8","Jubin Nautiyal Meherbani The Shaukeens official","0.9999999999999999","2025-09-02 22:08:42"
"Tulsi Kumar","Jis Dil Ko Ishq Ho Jaaye","Love Ho Jaaye","Non-film","2009","Hindi","https://www.youtube.com/watch?v=Qjq2fZrQWWE","Tulsi Kumar Jis Dil Ko Ishq Ho Jaaye Love Ho Jaaye official","0.9","2025-09-02 22:08:42"
"Asif Akbar","O Priya Tumi Kothay","nan","Non-film","2001","Bengali","https://www.youtube.com/watch?v=SIdtxbWIds0","Asif Akbar O Priya Tumi Kothay nan official","0.675","2025-09-02 22:08:42"
"Shankar Mahadevan","Breathless","nan","Non-film","1998","Hindi","https://www.youtube.com/watch?v=eytixeQUBa0","Shankar Mahadevan Breathless nan official","0.9999999999999999","2025-09-02 22:08:42"
"Babul Supriyo","Aati Hai To Chal","Saat Rang Ke Sapne","Film","1998","Hindi","https://www.youtube.com/watch?v=lqysEVL-u3k","Babul Supriyo Aati Hai To Chal Saat Rang Ke Sapne official","0.9249999999999999","2025-09-02 22:08:42"
"Pankaj Udhas","Mahiya Teri Kasam","Ghayal","Film","1990","Hindi","https://www.youtube.com/watch?v=JSm-flcB_fk","Pankaj Udhas Mahiya Teri Kasam Ghayal official","0.9999999999999999","2025-09-02 22:08:42"
"Sukhwinder Singh","Aaja Sanam","Khilaaf","Film","1991","Hindi","https://www.youtube.com/watch?v=4iT7Na3I_JI","Sukhwinder Singh Aaja Sanam Khilaaf official","0.9999999999999999","2025-09-02 22:08:42"
"Javed Ali","Jashn-e-Bahaaraa","Jodhaa Akbar","Film","2008","Hindi","https://www.youtube.com/watch?v=YYq0zm67bH8","Javed Ali Jashn-e-Bahaaraa Jodhaa Akbar official","0.8999999999999999","2025-09-02 22:08:42"
"Udit Narayan","Papa Kehte Hain","Qayamat Se Qayamat Tak","Film","1988","Hindi","https://www.youtube.com/watch?v=FEvBiayarlc","Udit Narayan Papa Kehte Hain Qayamat Se Qayamat Tak official","0.8999999999999999","2025-09-02 22:08:42"
"Rupankar Bagchi","Aaj Shraboner","nan","Non-film","1998","Bengali","https://www.youtube.com/watch?v=vHJ0FkN_kkU","Rupankar Bagchi Aaj Shraboner official 1998","0.8999999999999999","2025-09-02 22:08:44"
"Tulsi Kumar","Rabba Maula","Love Ho Jaaye","Non-film","2009","Hindi","https://www.youtube.com/watch?v=G4j8USL7FIQ","Tulsi Kumar Rabba Maula Love Ho Jaaye official","0.9999999999999999","2025-09-02 22:08:44"
"Asif Akbar","Ekhono Majhe Majhe","nan","Non-film","2002","Bengali","https://www.youtube.com/watch?v=itFkm5I6DLA","Asif Akbar Ekhono Majhe Majhe nan official","0.8999999999999999","2025-09-02 22:08:44"
"Shaan","Woh Pehli Baar","Pyaar Mein Kabhi Kabhi","Film","1999","Hindi","https://www.youtube.com/watch?v=-wVvVXLUYFU","Shaan Woh Pehli Baar Pyaar Mein Kabhi Kabhi official","0.9999999999999999","2025-09-02 22:08:44"
"Lata Mangeshkar","Ajib Dastan Hai Yeh","Dil Apna Aur Preet Parai","Film","1960","Hindi","https://www.youtube.com/watch?v=niSarMZ2t7g","Lata Mangeshkar Ajib Dastan Hai Yeh Dil Apna Aur Preet Parai official","0.9999999999999999","2025-09-02 22:08:44"
"Jubin Nautiyal","Zindagi Kuch Toh Bata (Reprise)","Bajrangi Bhaijaan","Film","2015","Hindi","https://www.youtube.com/watch?v=6o0M2pmsazA","Jubin Nautiyal Zindagi Kuch Toh Bata (Reprise) Bajrangi Bhaijaan official","0.9400000000000001","2025-09-02 22:08:44"
"Babul Supriyo","Aankhon Mein Base Ho Tum (Solo)","Takkar","Film","1995","Hindi","https://www.youtube.com/watch?v=HfiSo3YrvtU","Babul Supriyo Aankhon Mein Base Ho Tum (Solo) Takkar official","0.7000000000000001","2025-09-02 22:08:44"
"Pankaj Udhas","Jeeye To Jeeye Kaise","Saajan","Film","1991","Hindi","https://www.youtube.com/watch?v=wYdXuNtJkPk","Pankaj Udhas Jeeye To Jeeye Kaise Saajan official","0.9249999999999999","2025-09-02 22:08:45"
"Sukhwinder Singh","Deewane Tere Naam Ke","Saudagar","Film","1991","Hindi","https://www.youtube.com/watch?v=WJFZUWQpcMM","Sukhwinder Singh Deewane Tere Naam Ke Saudagar official","0.9249999999999999","2025-09-02 22:08:45"
