singer,title,film_album,film_or_nonfilm,year,Language,youtube_url,youtube_id,file_path,file_size,duration,download_timestamp,search_query_used,confidence_score,ai_model_detected,ai_channel_verified
Shaan,Musu Musu,Pyaar Mein Kabhi Kabhi,Film,1999,Hindi,https://www.youtube.com/watch?v=s1d1h7AMJJ0,s1d1h7AMJJ0,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Shaan/s1d1h7AMJJ0_Shaan_Musu Musu_1999.flac,1881796.0,,2025-09-09 13:25:04,voice clone Shaan Musu Musu,0.65,Unknown,False
Lata Mangeshkar,Pyar Kiya To Darna Kya,Mughal-E-Azam,Film,1960,Hindi,https://www.youtube.com/watch?v=MLaVeN82wS0,MLaVeN82wS0,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/MLaVeN82wS0_Lata Mangeshkar_Pyar Kiya To Darna Kya_1960.flac,55406891.0,,2025-09-09 13:25:07,Lata Mangeshkar Pyar Kiya To Darna Kya deepfake Hindi,0.7100000000000001,Unknown,False
Alka Yagnik,Gali Mein Aaj Chand Nikla,Zakhm,Film,1998,Hindi,https://www.youtube.com/watch?v=SCSBIKDfRAM,SCSBIKDfRAM,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Alka Yagnik/SCSBIKDfRAM_Alka Yagnik_Gali Mein Aaj Chand Nikla_1998.flac,64637441.0,,2025-09-09 13:25:08,Alka Yagnik Gali Mein Aaj Chand Nikla AI version,0.65,Unknown,False
Lata Mangeshkar,Aayega Aanewala,Mahal,Film,1949,Hindi,https://www.youtube.com/watch?v=e24S6d4e3QA,e24S6d4e3QA,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/e24S6d4e3QA_Lata Mangeshkar_Aayega Aanewala_1949.flac,29212548.0,,2025-09-09 13:25:09,synthesized Lata Mangeshkar Aayega Aanewala,0.65,Unknown,False
Lata Mangeshkar,Ajib Dastan Hai Yeh,Dil Apna Aur Preet Parai,Film,1960,Hindi,https://www.youtube.com/watch?v=G7tajEXIMsU,G7tajEXIMsU,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Lata Mangeshkar/G7tajEXIMsU_Lata Mangeshkar_Ajib Dastan Hai Yeh_1960.flac,58700023.0,,2025-09-09 13:25:10,Lata Mangeshkar Ajib Dastan Hai Yeh deepfake official,0.75,Unknown,False
Udit Narayan,Papa Kehte Hain,Qayamat Se Qayamat Tak,Film,1988,Hindi,https://www.youtube.com/watch?v=E8ytXrzkTNs,E8ytXrzkTNs,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Udit Narayan/E8ytXrzkTNs_Udit Narayan_Papa Kehte Hain_1988.flac,79210851.0,,2025-09-09 13:25:11,deepfake Udit Narayan Papa Kehte Hain,0.7,Unknown,False
Udit Narayan,Main Sehra Bandh Ke,Deewana Mujh Sa Nahin,Film,1990,Hindi,https://www.youtube.com/watch?v=cPq3IMS8W4w,cPq3IMS8W4w,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Udit Narayan/cPq3IMS8W4w_Udit Narayan_Main Sehra Bandh Ke_1990.flac,83169469.0,,2025-09-09 13:25:11,Udit Narayan Main Sehra Bandh Ke generated,0.7000000000000001,Unknown,False
Himesh Reshammiya,Aashiq Banaya Aapne,Aashiq Banaya Aapne,Film,2005,Hindi,https://www.youtube.com/watch?v=Y2FSJ5WdfJM,Y2FSJ5WdfJM,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Himesh Reshammiya/Y2FSJ5WdfJM_Himesh Reshammiya_Aashiq Banaya Aapne_2005.flac,83219956.0,,2025-09-09 13:25:11,Himesh Reshammiya Aashiq Banaya Aapne synthesized official,0.65,Unknown,False
Shreya Ghoshal,Silsila Ye Chahat Ka,Devdas,Film,2002,Hindi,https://www.youtube.com/watch?v=QeN6DNUytBM,QeN6DNUytBM,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Shreya Ghoshal/QeN6DNUytBM_Shreya Ghoshal_Silsila Ye Chahat Ka_2002.flac,67753568.0,,2025-09-09 13:25:11,synthesized Shreya Ghoshal Silsila Ye Chahat Ka,0.65,Unknown,False
Shreya Ghoshal,Jaadu Hai Nasha Hai,Jism,Film,2003,Hindi,https://www.youtube.com/watch?v=XBXdbK06i7Y,XBXdbK06i7Y,/workspace/SingFake_Project/IndicFake/dataset/raw_downloads_deepfake/Hindi/Shreya Ghoshal/XBXdbK06i7Y_Shreya Ghoshal_Jaadu Hai Nasha Hai_2003.flac,76181093.0,,2025-09-09 13:25:11,Shreya Ghoshal Jaadu Hai Nasha Hai AI cover Hindi,0.7000000000000001,Unknown,False
