singer,title,film_album,film_or_nonfilm,year,Language,youtube_url,search_query_used,confidence_score,discovery_timestamp,ai_model_detected,ai_channel_verified
Lata Mangeshkar,Aayega Aanewala,Mahal,Film,1949,Hindi,https://www.youtube.com/watch?v=e24S6d4e3QA,synthesized Lata Mangeshkar Aayega Aanewala,0.65,2025-09-08 00:35:54,Unknown,False
Himesh Reshammiya,Aashiq Banaya Aapne,Aashiq Banaya Aapne,Film,2005,Hindi,https://www.youtube.com/watch?v=Y2FSJ5WdfJM,Himesh Reshammiya Aashiq Banaya Aapne synthesized official,0.65,2025-09-08 00:35:54,Unknown,False
Udit Narayan,Papa Kehte Hain,Qayamat Se Qayamat Tak,Film,1988,Hindi,https://www.youtube.com/watch?v=E8ytXrzkTNs,deepfake Udit Narayan Papa Kehte Hain,0.7,2025-09-08 00:35:55,Unknown,False
Alka Yagnik,Gali Mein Aaj Chand Nikla,Zakhm,Film,1998,Hindi,https://www.youtube.com/watch?v=SCSBIKDfRAM,Alka Yagnik Gali Mein Aaj Chand Nikla AI version,0.65,2025-09-08 00:35:55,Unknown,False
Shaan,Musu Musu,Pyaar Mein Kabhi Kabhi,Film,1999,Hindi,https://www.youtube.com/watch?v=s1d1h7AMJJ0,voice clone Shaan Musu Musu,0.65,2025-09-08 00:35:55,Unknown,False
Shreya Ghoshal,Silsila Ye Chahat Ka,Devdas,Film,2002,Hindi,https://www.youtube.com/watch?v=QeN6DNUytBM,synthesized Shreya Ghoshal Silsila Ye Chahat Ka,0.65,2025-09-08 00:35:57,Unknown,False
Udit Narayan,Main Sehra Bandh Ke,Deewana Mujh Sa Nahin,Film,1990,Hindi,https://www.youtube.com/watch?v=cPq3IMS8W4w,Udit Narayan Main Sehra Bandh Ke generated,0.7000000000000001,2025-09-08 00:35:57,Unknown,False
Lata Mangeshkar,Ajib Dastan Hai Yeh,Dil Apna Aur Preet Parai,Film,1960,Hindi,https://www.youtube.com/watch?v=G7tajEXIMsU,Lata Mangeshkar Ajib Dastan Hai Yeh deepfake official,0.75,2025-09-08 00:35:57,Unknown,False
Shreya Ghoshal,Jaadu Hai Nasha Hai,Jism,Film,2003,Hindi,https://www.youtube.com/watch?v=XBXdbK06i7Y,Shreya Ghoshal Jaadu Hai Nasha Hai AI cover Hindi,0.7000000000000001,2025-09-08 00:36:00,Unknown,False
Lata Mangeshkar,Pyar Kiya To Darna Kya,Mughal-E-Azam,Film,1960,Hindi,https://www.youtube.com/watch?v=MLaVeN82wS0,Lata Mangeshkar Pyar Kiya To Darna Kya deepfake Hindi,0.7100000000000001,2025-09-08 00:36:01,Unknown,False
Shreya Ghoshal,Suna Suna,Krishna Cottage,Film,2004,Hindi,https://www.youtube.com/watch?v=FM03qaS3SZY,Shreya Ghoshal Suna Suna synthetic,0.75,2025-09-08 00:36:03,Unknown,False
Shaan,Woh Pehli Baar,Pyaar Mein Kabhi Kabhi,Film,1999,Hindi,https://www.youtube.com/watch?v=EJEPr0fKC0w,Shaan Woh Pehli Baar deepfake official,0.75,2025-09-08 00:36:03,Unknown,False
Shreya Ghoshal,Agar Tum Mil Jao,Zeher,Film,2005,Hindi,https://www.youtube.com/watch?v=i82FZFB-gHw,Shreya Ghoshal Agar Tum Mil Jao AI cover official,0.9500000000000001,2025-09-08 00:36:06,Unknown,True
Lata Mangeshkar,Aap Ki Nazron Ne Samjha,Anpadh,Film,1962,Hindi,https://www.youtube.com/watch?v=P9Brlt1_RCQ,Lata Mangeshkar Aap Ki Nazron Ne Samjha AI cover official,0.87,2025-09-08 00:36:07,Unknown,True
Shaan,Tanha Dil,Tanha Dil,Non-film,2000,Hindi,https://www.youtube.com/watch?v=8x_ocX9i6CQ,Shaan Tanha Dil deepfake,0.75,2025-09-08 00:36:08,Unknown,False
Udit Narayan,Ruk Ja O Dil Deewane,Dilwale Dulhania Le Jayenge,Film,1995,Hindi,https://www.youtube.com/watch?v=7lcqfedEtEc,Udit Narayan Ruk Ja O Dil Deewane voice clone,0.67,2025-09-08 00:36:12,Unknown,True
Alka Yagnik,Agar Tum Saath Ho,Tamasha,Film,2015,Hindi,https://www.youtube.com/watch?v=Tb0vEaWu-j8,generated Alka Yagnik Agar Tum Saath Ho,0.85,2025-09-08 00:36:12,Unknown,False
Lata Mangeshkar,Kahin Deep Jale Kahin Dil,Bees Saal Baad,Film,1962,Hindi,https://www.youtube.com/watch?v=YHOpVcKfFJk,Lata Mangeshkar Kahin Deep Jale Kahin Dil AI singing official,0.65,2025-09-08 00:36:12,Unknown,False
Lata Mangeshkar,Tera Mera Pyar Amar,Asli Naqli,Film,1962,Hindi,https://www.youtube.com/watch?v=tN9U0tkJnPs,Lata Mangeshkar Tera Mera Pyar Amar voice clone 1962,0.65,2025-09-08 00:36:17,Unknown,False
Udit Narayan,Kya Kare Kya Na Kare,Rangeela,Film,1995,Hindi,https://www.youtube.com/watch?v=bZOG5njTMkM,Udit Narayan Kya Kare Kya Na Kare voice clone 1995,0.7100000000000001,2025-09-08 00:36:19,Unknown,False
Lata Mangeshkar,Lag Ja Gale Se Phir,Woh Kaun Thi,Film,1964,Hindi,https://www.youtube.com/watch?v=WICYx2S3cHE,Lata Mangeshkar Lag Ja Gale Se Phir generated,0.83,2025-09-08 00:36:31,Unknown,True
Alka Yagnik,Poocho Zara Poocho,Raja Hindustani,Film,1996,Hindi,https://www.youtube.com/watch?v=_Ska5WGeoPw,Alka Yagnik Poocho Zara Poocho AI version,0.7666666666666666,2025-09-08 00:36:33,Unknown,False
Lata Mangeshkar,Aaj Phir Jeene Ki Tamanna Hai,Guide,Film,1965,Hindi,https://www.youtube.com/watch?v=h9-1TTIlphM,Lata Mangeshkar Aaj Phir Jeene Ki Tamanna Hai deepfake,0.7166666666666667,2025-09-08 00:36:34,Unknown,False
