singer,title,film_album,film_or_nonfilm,year,Language
Lata Mangeshkar,Aayega Aanewala,Mahal,Film,1949,Hindi
Lata Mangeshkar,Ajib Dastan Hai Yeh,Dil Apna Aur Preet Parai,Film,1960,Hindi
Lata Mangeshkar,Pyar Kiya To Darna Kya,Mughal-E-Azam,Film,1960,Hindi
Lata Mangeshkar,Aap Ki Nazron Ne Samjha,Anpadh,Film,1962,Hindi
Lata Mangeshkar,Kahin Deep Jale Kahin Dil,Bees Saal Baad,Film,1962,Hindi
Lata Mangeshkar,Tera Mera Pyar Amar,Asli Naqli,Film,1962,Hindi
Lata Mangeshkar,Lag Ja Gale Se Phir,Woh Kaun Thi,Film,1964,Hindi
Lata Mangeshkar,Aaj Phir Jeene Ki Tamanna Hai,Guide,Film,1965,Hindi
Lata Mangeshkar,Piya Tose Naina Laage Re,Guide,Film,1965,Hindi
Lata Mangeshkar,Ye Samaa Samaa Hai Pyar Ka,Jab Jab Phool Khile,Film,1965,Hindi
Lata Mangeshkar,Aaja Piya Tohe Pyar Doon,Baharon Ke Sapne,Film,1967,Hindi
Lata Mangeshkar,Bahon Mein Chale Aao,Anamika,Film,1973,Hindi
Lata Mangeshkar,Jane Kyon Log Mohabbat Kiya,Mehboob Ki Mehndi,Film,1971,Hindi
Lata Mangeshkar,Bangle Ke Peechhe,Samadhi,Film,1972,Hindi
Lata Mangeshkar,Chalte Chalte Yun Hi Koi,Pakeezah,Film,1972,Hindi
Lata Mangeshkar,Main Tere Ishq Mein,Loafer,Film,1973,Hindi
Lata Mangeshkar,Tere Bina Jiya Jaye Naa,Ghar,Film,1978,Hindi
Lata Mangeshkar,Tune O Rangeele,Kudrat,Film,1981,Hindi
Lata Mangeshkar,Solah Baras Ki Bali Umar,Ek Duuje Ke Liye,Film,1981,Hindi
Lata Mangeshkar,Tujhse Naraz Nahin Zindagi,Masoom,Film,1983,Hindi
Lata Mangeshkar,Sun Sahiba Sun,Ram Teri Ganga Maili,Film,1985,Hindi
Lata Mangeshkar,Didi Tera Devar Deewana,Hum Aapke Hain Koun,Film,1994,Hindi
Lata Mangeshkar,Yara Seeli Seeli,Lekin,Film,1990,Hindi
Lata Mangeshkar,Maye Ni Maye,Hum Aapke Hain Koun,Film,1994,Hindi
Lata Mangeshkar,Mere Khwabon Mein,Dilwale Dulhania Le Jayenge,Film,1995,Hindi
Asha Bhosle,Aaiye Meharban,Howrah Bridge,Film,1958,Hindi
Asha Bhosle,Paan Khaye Saiyan Hamarao,Teesri Manzil,Film,1966,Hindi
Asha Bhosle,Jhumka Gira Re,Mera Saaya,Film,1966,Hindi
Asha Bhosle,Raat Akeli Hai,Jewel Thief,Film,1967,Hindi
Asha Bhosle,Raat Ke Humsafar,An Evening In Paris,Film,1967,Hindi
Asha Bhosle,Aao Huzoor Tumko,Kismet,Film,1968,Hindi
Asha Bhosle,Parde Mein Rahne Do,Shikar,Film,1968,Hindi
Asha Bhosle,Dum Maro Dum Mit Jaye Gham,Hare Rama Hare Krishna,Film,1971,Hindi
Asha Bhosle,Piya Tu Ab To Aaja,Caravan,Film,1971,Hindi
Asha Bhosle,Zindagi Ek Safar Hai Suhana,Andaz,Film,1971,Hindi
Asha Bhosle,Jaaneman Jaaneman Tere Do Nain,Chhoti Si Baat,Film,1976,Hindi
